#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'F','484FC4','Janus C','PH-1506','DZ','Y','Y','1'
'F','485003','Ventus 2ct','PH-1517','TX','Y','Y','1'
'F','485011','Discus 2','PH-1519','2S','Y','Y','1'
'I','485012','LS-8 st 18','PH-1520','GX','Y','Y','1'
'I','485018','Nimbus 4DT','PH1522','ZY','Y','Y','1'
'I','485024','LS-4','PH-1523','HL','Y','Y','1'
'I','485026','Duo Discus xl','PH-1521','E11','Y','Y','1'
'I','48502A','LS-6','PH-785','YB','Y','Y','1'
'I','48502C','Ventus c','PH-1524','HX','Y','Y','1'
'I','485030','DG-1000 T','PH-1525','HD','Y','Y','1'
'I','48503E','Robinson R44','PH-ABZ','','Y','Y','4'
'I','48503F','LS-4','PH-1514','SU','Y','Y','1'
'I','485054','Ventus 2cxM','PH-1530','O','Y','Y','1'
'I','485069','Duo Discus xlt','PH-1529','E12','Y','Y','1'
'I','48507B','ASW-24','PH-1531','PR','Y','Y','1'
'I','485081','Nimbus 4DT','Ph-1535','XL','Y','Y','1'
'I','485083','Duo Discus t','PH-1532','V1','Y','Y','1'
'I','485095','Arcus M','PH-1498','PS','Y','Y','1'
'F','4850D4','DG-808 B','PH-1538','FS','Y','Y','1'
'I','4850D7','Libelle Std','PH-1537','SXY','Y','Y','1'
'I','4850DC','LS-1 f','PH-1540','1F','Y','Y','1'
'I','4850EF','Vans RV-12','PH-SES','','Y','Y','2'
'I','4850F9','ASH-25 MI','PH-1541','41','Y','Y','1'
'I','4850FB','LAK-17B FES','PH-1543','N1','Y','Y','1'
'I','48513F','LS-4 W','PH-1549','HP','Y','Y','1'
'F','485140','Cirrus Std','PH-1550','HE','Y','Y','1'
'I','485141','Towplane','PH-1544','S25','Y','Y','2'
'I','48515D','ASK-21','PH-1552','SG','Y','Y','1'
'I','48516F','DG-1000','PH-1557','FAC','Y','Y','1'
'F','48517C','Discus 2t','PH-1554','X6','Y','Y','1'
'F','48517F','Discus 2','PH-1553','VC','Y','Y','1'
'I','485192','ASK-23','PH-1558','N7','Y','Y','1'
'I','485196','Aquila A210','PH-DHB','','Y','Y','2'
'I','485197','Duo Discus xlt','PH-1551','M3','Y','Y','1'
'F','4851BB','Janus A','PH-1560','JNS','Y','Y','1'
'I','4851DC','Arcus T','PH-1555','ARC','Y','Y','1'
'F','4851E0','ASG-29E','PH-1562','1R','Y','Y','1'
'I','485221','Motorplane','PH-4M5','','Y','Y','2'
'F','485222','LS-3','PH-1567','KM','Y','Y','1'
'F','485223','Cirrus Std','PH-1566','MA','Y','Y','1'
'I','4852F9','Janus B','PH-1570','N15','Y','Y','1'
'I','4852FD','DG-1000','PH-1573','GO8','Y','Y','1'
'F','485300','ASK-21','PH-1568','NZ','Y','Y','1'
'I','485310','Discus 2cT','PH-1576','JE','Y','Y','1'
'I','485360','Duo Discus xlt','PH-1571','YD','Y','Y','1'
'I','4853B1','Towplane','PH-1580','VCH','Y','Y','2'
'F','485403','DG-1000 T','PH-1584','DGT','Y','Y','1'
'F','48542E','LS-8 18','PH-1585','WTF','Y','Y','1'
'I','485450','ASW-20','PH-1586','XC','Y','Y','1'
'F','485495','ASG-29E','PH-1589','FLY','Y','Y','1'
'O','4854DE','Nimbus 3','PH-1590','3T','Y','Y','1'
'I','48557E','ASW-27','PH-1591','M6','Y','Y','1'
'I','48557F','H36 Dimona','PH-1593','','Y','Y','1'
'I','4855F6','Motorplane','PH-PNX','','Y','Y','2'
'I','485614','LS-4','PH-1587','8M','Y','Y','1'
'F','485692','DG-600','PH-864','ZF','Y','Y','1'
'F','48570A','ASG-29E','PH-1596','9S','Y','Y','1'
'I','4857C4','PA-28','PH-OMP','','Y','Y','2'
'I','485837','HK36 Super Dimona','PH-1600','P00','Y','Y','1'
'F','485839','Discus t','PH-1598','BC','Y','Y','1'
'I','4858A1','Discus 2cT','PH-1603','GO9','Y','Y','1'
'I','485922','ASK-21','PH-1606','Z5','Y','Y','1'
'F','4859DD','Cirrus Std','PH-1607','BS','Y','Y','1'
'I','4859F0','WT9 Dynamic','PH-4R6','PR6','Y','Y','3'
'F','4859FE','LS-4 W','PH-901','91','Y','Y','1'
